temp,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all,Product,Unit_Price,Discount,Total_Price,Quantity
279.86,276.66,276.41,279.19,280.11,1005,80,5.5,206,62,0,129.41,0.1,3028.19,26
278.78,278.78,275.94,278.27,279.0,1009,100,3.72,208,100,1,285.32,0.1,11812.25,46
282.46,282.46,278.98,282.11,283.86,990,100,7.8,235,76,2,198.42,0.1,6071.65,34
281.54,279.17,278.21,280.67,282.02,993,85,6.42,242,99,1,151.65,0.1,11601.22,85
278.09,278.09,276.08,277.49,278.64,1006,100,2.38,212,100,1,191.83,0.05,17494.9,96
277.7,276.51,275.78,275.91,278.44,1004,92,2.21,218,34,1,296.01,0.1,25308.86,95
273.55,273.55,269.57,273.22,275.11,1015,100,3.7,56,100,3,198.52,0.05,17727.84,94
270.78,269.66,265.58,269.86,271.05,1027,91,4.53,36,93,1,165.75,0.05,5668.65,36
263.85,262.15,256.85,263.27,264.94,1036,86,5.14,74,100,4,226.68,0.05,14212.84,66
264.23,262.13,258.72,262.86,264.34,1034,83,3.19,82,4,0,148.03,0.05,5625.14,40
263.64,262.2,260.07,262.86,264.26,1033,88,1.74,41,0,5,115.17,0.0,1727.55,15
271.82,271.45,269.73,270.5,273.04,1033,97,1.59,314,93,6,125.78,0.0,6163.22,49
272.55,272.55,268.3,272.11,274.0,1028,100,3.76,261,100,1,125.61,0.1,2374.03,21
273.48,273.48,268.14,273.22,274.56,1014,100,5.95,252,100,2,130.38,0.0,8083.56,62
272.47,270.52,266.69,271.93,273.44,1001,85,6.3,249,97,1,127.77,0.0,10221.6,80
273.08,272.46,267.46,272.67,274.16,1005,95,6.31,271,68,2,228.17,0.1,3901.71,19
268.88,267.38,264.35,268.27,269.25,1006,88,3.17,191,63,4,136.38,0.1,6628.07,54
271.51,271.51,271.51,270.91,272.53,991,100,1.31,324,100,2,169.13,0.1,3957.64,26
269.32,269.32,266.0,268.86,270.31,1013,100,2.17,259,69,6,279.36,0.0,9777.6,35
269.34,269.22,263.43,268.6,269.34,1027,99,5.06,240,65,0,194.79,0.0,18310.26,94
265.45,262.78,260.53,265.45,266.86,1031,79,2.89,195,68,2,233.51,0.1,14921.29,71
276.35,276.21,271.04,275.27,277.86,1019,99,7.83,212,100,2,134.46,0.05,7025.54,55
279.82,276.97,276.17,279.56,280.82,1016,82,6.0,242,80,0,138.46,0.1,9096.82,73
279.68,279.68,275.39,279.34,280.67,1018,100,7.75,223,100,6,108.17,0.05,1130.38,11
280.13,277.45,276.47,279.86,281.22,1024,83,6.24,269,99,1,133.79,0.05,8007.33,63
278.08,278.08,276.73,277.02,279.75,1027,100,1.73,211,100,2,155.72,0.1,10370.95,74
276.74,274.13,272.62,276.56,277.33,1032,83,5.21,278,55,0,135.4,0.1,7311.6,60
273.39,271.68,271.34,272.71,274.75,1037,87,1.72,185,81,4,117.74,0.1,6569.89,62
279.86,273.96,277.57,277.49,279.86,1031,66,3.21,181,1,0,124.13,0.0,5585.85,45
277.8,274.82,275.39,276.6,279.0,1031,81,2.8,205,91,4,192.16,0.05,6389.32,35
280.73,280.29,278.81,279.71,281.47,1032,97,2.91,259,81,6,141.27,0.0,5368.26,38
277.6,276.11,273.42,277.11,279.19,1026,90,5.84,248,100,1,172.85,0.0,5185.5,30
275.16,273.85,271.75,274.16,276.42,1032,91,3.4,256,99,0,200.68,0.1,3612.24,20
281.51,278.8,278.15,280.49,281.86,1024,83,6.48,259,100,5,238.08,0.0,11665.92,49
281.94,280.06,278.92,281.05,282.02,1022,88,5.83,256,97,5,107.86,0.1,1941.48,20
282.97,280.91,279.44,282.16,283.28,1016,87,8.59,253,100,3,259.88,0.05,11109.87,45
279.79,279.2,275.76,279.34,281.22,1015,96,7.04,247,100,2,225.58,0.1,13805.5,68
282.61,279.16,278.87,281.93,282.89,1005,79,9.0,238,100,6,116.35,0.0,5584.8,48
274.56,273.99,272.64,274.0,274.86,1005,96,1.76,150,100,0,274.72,0.0,17307.36,63
280.22,280.22,278.82,278.86,282.53,993,100,2.12,192,100,5,284.17,0.1,16368.19,64
282.69,282.69,281.08,282.49,283.44,990,100,3.05,197,100,2,112.22,0.1,3332.93,33
281.38,281.38,280.19,280.86,281.56,989,100,2.1,87,99,5,155.38,0.0,4816.78,31
280.21,280.21,278.2,279.39,281.38,997,100,2.9,234,98,0,261.24,0.05,19357.88,78
277.59,277.59,275.15,276.61,278.64,1014,100,2.79,257,18,4,249.65,0.05,15415.89,65
278.12,276.46,275.08,277.58,279.19,1020,89,3.81,206,86,0,136.9,0.1,5174.82,42
282.77,282.77,280.62,282.16,283.6,1019,100,4.15,226,100,3,141.87,0.05,6064.94,45
282.85,282.09,281.29,280.36,284.94,1015,95,3.02,166,38,0,174.09,0.0,5048.61,29
283.84,283.84,283.58,283.44,284.25,1022,100,3.09,301,97,0,196.9,0.1,16303.32,92
280.68,280.53,280.68,280.45,281.78,1034,99,1.05,205,48,3,223.65,0.0,20128.5,90
280.99,280.99,277.14,280.45,282.58,1019,100,7.55,254,99,6,173.78,0.0,12338.38,71
280.24,280.24,277.69,279.89,281.38,1024,100,3.79,273,96,0,192.51,0.05,14996.53,82
280.2,279.15,277.46,279.89,280.91,1024,93,4.13,238,100,3,249.49,0.1,7858.94,35
281.01,278.82,277.7,280.11,281.93,1005,86,5.94,208,100,2,107.34,0.1,7245.45,75
281.95,278.69,278.43,281.56,283.28,988,80,7.39,233,95,4,150.49,0.05,11723.17,82
276.53,274.25,274.52,275.86,276.86,999,85,2.1,166,32,4,242.67,0.0,19898.94,82
277.0,273.87,274.5,275.86,277.11,1008,80,2.72,189,87,0,279.04,0.0,13672.96,49
273.84,272.21,271.22,273.13,275.86,1003,88,2.24,85,99,6,202.34,0.0,5260.84,26
279.56,278.67,277.06,278.69,279.89,1013,94,3.45,42,100,6,206.42,0.0,2064.2,10
277.47,276.89,277.47,276.05,278.04,1020,96,1.27,352,50,2,121.43,0.1,10710.13,98
274.34,271.79,271.84,273.82,274.86,1021,82,2.21,173,68,0,189.48,0.1,11937.24,70
277.16,274.71,275.01,276.42,277.71,1008,84,2.36,172,0,4,206.52,0.05,10202.09,52
280.55,279.02,279.3,279.25,281.0,1006,90,2.01,171,99,6,148.49,0.05,7194.34,51
278.88,276.72,277.13,276.93,279.34,1004,86,2.25,107,22,0,153.85,0.1,4707.81,34
279.59,277.91,278.35,277.53,279.89,1005,89,1.85,41,24,5,175.46,0.1,7579.87,48
280.74,280.74,280.74,279.86,281.0,1013,100,1.0,320,100,6,104.01,0.0,4576.44,44
277.63,277.63,275.2,277.33,278.08,1019,100,2.78,83,100,3,164.42,0.0,1973.04,12
275.95,274.48,274.07,274.38,277.16,1027,90,1.9,59,94,5,142.29,0.05,7164.3,53
273.68,270.93,269.83,271.93,274.34,1023,80,3.57,88,22,6,165.5,0.1,8937.0,60
274.67,272.79,270.88,272.49,275.45,1011,87,3.78,103,0,4,123.95,0.05,2472.8,21
276.91,273.96,274.17,275.49,278.08,1003,81,2.99,85,99,1,278.11,0.1,7008.37,28
279.25,278.36,278.17,277.16,279.89,999,94,1.65,84,100,5,218.72,0.0,11592.16,53
278.72,276.23,276.35,275.86,279.56,1011,84,2.98,217,1,2,235.82,0.05,15233.97,68
278.5,277.46,276.77,276.38,279.86,1017,93,2.16,188,36,2,257.83,0.05,14206.43,58
282.22,282.22,281.52,281.61,283.08,1017,100,1.71,218,100,4,199.69,0.1,12580.47,70
282.82,281.74,281.57,282.16,284.0,1011,93,2.52,201,82,6,117.38,0.0,3051.88,26
282.2,282.2,280.33,282.02,283.08,1012,100,3.32,230,33,0,207.42,0.05,16355.07,83
276.55,274.27,274.78,275.86,277.16,1025,85,1.89,256,52,6,217.37,0.0,14346.42,66
277.92,274.05,275.96,276.6,278.6,1021,76,2.3,108,94,4,249.09,0.05,15144.67,64
278.4,275.24,276.78,277.16,279.56,1020,80,2.03,116,96,2,186.33,0.0,10434.48,56
280.38,277.17,279.23,279.38,280.45,1021,80,1.88,157,83,6,125.52,0.1,2372.33,21
283.29,280.54,282.53,282.71,284.56,1019,83,2.23,220,97,2,156.76,0.05,10573.46,71
279.06,277.71,277.67,277.02,281.05,1023,91,1.91,227,97,5,172.62,0.05,14595.02,89
