name,min,max
almond milkshake 450ml,499,499
ambarella achcharu 600ml,650,650
caramel cheese sandwich,100,100
chocolate milkshake 450ml,799,799
egg scramble sandwich.,100,500
faluda with ice cream 450ml,670,670
fruit salad 1l,1,570
fruit salad 350ml,88,630
fruit salad 600ml,520,520
fruit salad ice cream jeli with kithul pani 350ml,410,499
fruit salad ice cream jeli with kithul pani 600ml,88,499
fruit salad ice crime jelly with kithul pani 1l,66,66
fruit salad with ice cream 350ml,530,530
fruit salad with ice cream 600ml,550,550
fruit salad with jelly and ice cream 350ml,1,100
fruit salad without pineapple 1l,85,85
fruit salad without pineapple 350ml,460,460
fruit salad without pineapple 600ml,650,650
fruit salad without pineapple ice cream jeli with kithul pani 600ml,88,88
fruit salad without pineapple with ice cream 600ml,100,100
garlic cheese sandwich,97,360
green narang juice 450ml,70,70
guava achcharu 350ml,590,590
mango juice 450ml,85,85
mango juice with ice cream 450ml,83,799
mango milkshake 450ml,970,970
marmite and butter sandwich,95,95
mix fruit jam and butter sandwich,95,95
mix fruit juice (350 ml),95,95
mix fruit lassi (350 ml),95,500
mix fruit milkshake,500,500
orange juice 450ml,1,640
papaya juice (350 ml),430,430
papaya juice 450ml,670,670
papaya lassi (350 ml),500,500
papaya milkshake,97,97
passion fruit juice 450ml,90,90
peanut butter and mix fruit jam sandwich,100,100
peanut butter and strawberry jam sandwich,580,580
peanut butter sandwich,500,500
pineapple juice 450ml,82,82
pineapple lassi (350 ml),100,430
pomegranate juice 450ml,580,580
sausage salad sandwich,400,500
spread cheese and marmite,500,500
spread cheese and mix fruit jam sandwich,650,650
spread cheese and strawberry jam sandwich,500,500
strawberry jam and butter sandwich,290,290
sweet orange juice 450ml,820,820
watermelon juice 450ml,62,62
